,Accuracy,avg_Precision,avg_Recall,avg_F-score,0_Precision,0_Recall,0_F-score,1_Precision,1_Recall,1_F-score,2_Precision,2_Recall,2_F-score,3_Precision,3_Recall,3_F-score,4_Precision,4_Recall,4_F-score,5_Precision,5_Recall,5_F-score,6_Precision,6_Recall,6_F-score,7_Precision,7_Recall,7_F-score,8_Precision,8_Recall,8_F-score,9_Precision,9_Recall,9_F-score
1,0.9866856871136471,0.9865499310005527,0.986566787949533,0.9865146698578501,1.0,0.9903381642512077,0.9951456310679612,0.9978586723768736,0.9936034115138592,0.9957264957264957,0.9856801909307876,0.9880382775119617,0.986857825567503,0.9774266365688488,0.9931192660550459,0.9852104664391353,0.973621103117506,0.9950980392156863,0.9842424242424243,0.9740932642487047,0.9894736842105263,0.9817232375979114,0.9951219512195122,0.9855072463768116,0.9902912621359223,0.9886877828054299,0.9909297052154195,0.9898074745186863,0.99,0.972972972972973,0.9814126394052045,0.9830097087378641,0.9665871121718377,0.9747292418772563
2,0.9892959086584205,0.9891137401064849,0.989183442533865,0.9891322805580707,1.0,0.9903381642512077,0.9951456310679612,1.0,0.9893390191897654,0.9946409431939978,0.983451536643026,0.9952153110047847,0.9892984542211652,0.9908466819221968,0.9954022988505747,0.9931192660550459,0.9830508474576272,0.9950980392156863,0.9890377588306942,0.9840848806366048,0.9763157894736842,0.9801849405548219,0.9879807692307693,0.9927536231884058,0.9903614457831326,0.9931350114416476,0.9863636363636363,0.9897377423033067,0.9852941176470589,0.9877149877149877,0.9865030674846627,0.9832935560859188,0.9832935560859188,0.9832935560859188
3,0.990242741551642,0.9902397349001454,0.9900954003770988,0.9901340489165585,1.0,0.9854721549636803,0.9926829268292683,1.0,0.9936034115138592,0.9967914438502673,0.9810874704491725,0.992822966507177,0.9869203329369798,0.9863013698630136,0.993103448275862,0.9896907216494845,0.9805352798053528,0.9901719901719902,0.9853300733496332,1.0,0.9815789473684211,0.9907038512616202,0.9927536231884058,0.9927536231884058,0.9927536231884058,0.9954545454545455,0.9954545454545455,0.9954545454545455,0.9759036144578314,0.995085995085995,0.9854014598540146,0.9903614457831326,0.9809069212410502,0.9856115107913669
4,0.9890502261366342,0.9890771079571892,0.9891114311829495,0.9890727400490373,1.0,0.9878934624697336,0.9939098660170523,0.9913978494623656,0.9829424307036247,0.987152034261242,0.9927884615384616,0.9880382775119617,0.9904076738609113,1.0,0.9954022988505747,0.9976958525345622,0.9853300733496333,0.9901719901719902,0.9877450980392156,0.9920634920634921,0.9868421052631579,0.9894459102902374,0.9903846153846154,0.9951690821256038,0.9927710843373494,0.9796839729119639,0.9863636363636363,0.9830124575311437,0.9710843373493976,0.9926108374384236,0.9817295980511572,0.9880382775119617,0.9856801909307876,0.986857825567503
5,0.9861904761904762,0.9860930835995492,0.9863132095368906,0.9861803470214141,0.9975609756097561,0.9903147699757869,0.9939246658566222,0.9978213507625272,0.9786324786324786,0.988133764832794,0.9856459330143541,0.9856459330143541,0.9856459330143541,0.9907834101382489,0.9885057471264368,0.9896432681242807,0.9828850855745721,0.9877149877149877,0.9852941176470588,0.984375,0.9947368421052631,0.9895287958115183,0.9855072463768116,0.9855072463768116,0.9855072463768116,0.9776286353467561,0.9931818181818182,0.9853438556933484,0.9755501222493888,0.9827586206896551,0.9791411042944785,0.9831730769230769,0.9761336515513126,0.9796407185628742
6,0.9899976184805906,0.9899313170760955,0.9899502188052433,0.9899198331712398,0.9975609756097561,0.9903147699757869,0.9939246658566222,1.0,0.9935897435897436,0.9967845659163987,0.9904534606205251,0.992822966507177,0.991636798088411,0.9908466819221968,0.9954022988505747,0.9931192660550459,0.9878048780487805,0.995085995085995,0.9914320685434517,0.9946949602122016,0.9894459102902374,0.9920634920634921,0.9927184466019418,0.9879227053140096,0.9903147699757869,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9686746987951808,0.9901477832512315,0.9792935444579781,0.9879227053140096,0.9761336515513126,0.9819927971188476
7,0.9876160990712074,0.9875048508441079,0.9877117106296127,0.9875784600928277,1.0,0.9806295399515739,0.9902200488997555,0.9935897435897436,0.9935897435897436,0.9935897435897436,0.9831730769230769,0.9784688995215312,0.9808153477218226,0.9884259259259259,0.9816091954022989,0.9850057670126874,0.9805825242718447,0.9926289926289926,0.9865689865689865,0.9768041237113402,1.0,0.9882659713168187,0.9927184466019418,0.9879227053140096,0.9903147699757869,0.9863636363636363,0.9863636363636363,0.9863636363636363,0.9877450980392157,0.9926108374384236,0.9901719901719902,0.9856459330143541,0.9832935560859188,0.984468339307049
8,0.9902311174648558,0.9900634035149801,0.9901584967530352,0.9900978133487118,0.9927536231884058,0.9951573849878934,0.9939540507859733,0.997867803837953,1.0,0.9989327641408752,0.9903846153846154,0.988009592326139,0.9891956782713085,0.9953917050691244,0.993103448275862,0.9942462600690449,0.9878048780487805,0.995085995085995,0.9914320685434517,0.9843342036553525,0.9947229551451188,0.989501312335958,0.9950980392156863,0.9830508474576272,0.9890377588306942,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.980440097799511,0.9876847290640394,0.9840490797546012,0.9879227053140096,0.9761336515513126,0.9819927971188476
9,0.9892755004766445,0.9892292991371383,0.9893155486467966,0.9892479944683293,0.9927536231884058,0.9951573849878934,0.9939540507859733,0.9935622317596566,0.9893162393162394,0.9914346895074947,0.9740566037735849,0.9904076738609112,0.9821640903686087,0.9976851851851852,0.9908045977011494,0.9942329873125721,0.9806763285024155,0.9975429975429976,0.9890377588306942,0.9921052631578947,0.9947229551451188,0.9934123847167325,0.9975609756097561,0.9903147699757869,0.9939246658566222,0.990909090909091,0.990909090909091,0.990909090909091,0.9827160493827161,0.9802955665024631,0.9815043156596794,0.9902676399026764,0.9736842105263158,0.9819059107358262
10,0.988560533841754,0.9885022295569493,0.9885550975839774,0.9885153191060425,1.0,0.9903147699757869,0.9951338199513382,0.9978494623655914,0.9914529914529915,0.9946409431939979,0.9904761904761905,0.9976019184652278,0.994026284348865,0.9861751152073732,0.9839080459770115,0.9850402761795167,0.9876847290640394,0.9852579852579852,0.986469864698647,0.9868421052631579,0.9894459102902374,0.9881422924901185,0.9880382775119617,1.0,0.9939831528279182,0.9840909090909091,0.9840909090909091,0.9840909090909091,0.9875621890547264,0.9778325123152709,0.9826732673267327,0.976303317535545,0.9856459330143541,0.9809523809523809
Avg,0.9887145908985874,0.9886304697693193,0.9886961343999003,0.9886393506590082,0.9980629197596326,0.989593056579055,0.9937995357118528,0.9969947114154711,0.9906069469502305,0.9937827388213307,0.9857197539753795,0.9897071816231225,0.987696841839993,0.9903882711802113,0.9910360645365393,0.9907004131431375,0.9829975727240552,0.9923857012092305,0.9876590219294256,0.9869397292948747,0.9897285099291766,0.988297218843923,0.9917882390941403,0.990090184931747,0.990925977928843,0.9873226311596707,0.9890929705215419,0.9881992439137394,0.9804970324775025,0.9859714842473462,0.9831880066460499,0.9855938366122547,0.9787492434710121,0.982144507811787
Std,0.0014439329557501329,0.0014597299315454828,0.0014009607821708829,0.001433874522403073,0.002970125982502042,0.004279298533394996,0.0014740359855634462,0.0030680887164975085,0.006056247977029926,0.003819031085303869,0.005636032265791457,0.005414161425750234,0.004099116739021373,0.006476875683007639,0.004901365787251354,0.004502254670921927,0.004457796624556029,0.003921090515734788,0.002529233239083454,0.007978710691766125,0.006955000587864428,0.004209499805519333,0.0037717591884974208,0.005155285701605494,0.0025707734786318648,0.005595397577244232,0.0035220825831454652,0.0036609359220126743,0.007413459235049374,0.007244887154102988,0.003421003540351277,0.004288779004819082,0.0061069673027447195,0.0033950165348391754
sr,98.9(0.1)%,98.9(0.1)%,98.9(0.1)%,98.9(0.1)%,99.8(0.3)%,99.0(0.4)%,99.4(0.1)%,99.7(0.3)%,99.1(0.6)%,99.4(0.4)%,98.6(0.6)%,99.0(0.5)%,98.8(0.4)%,99.0(0.6)%,99.1(0.5)%,99.1(0.5)%,98.3(0.4)%,99.2(0.4)%,98.8(0.3)%,98.7(0.8)%,99.0(0.7)%,98.8(0.4)%,99.2(0.4)%,99.0(0.5)%,99.1(0.3)%,98.7(0.6)%,98.9(0.4)%,98.8(0.4)%,98.0(0.7)%,98.6(0.7)%,98.3(0.3)%,98.6(0.4)%,97.9(0.6)%,98.2(0.3)%
